video_id,policy,n_seeds,cover_mean,cover_std,cover_min,cover_max,raw_errshare_mean,raw_errshare_std,raw_errshare_min,raw_errshare_max,inc_errshare_mean,inc_errshare_std,inc_errshare_min,inc_errshare_max
WalkingWithDog_v_WalkingWithDog_g01_c01,Shifted-RAT-fusion,10,0.040320,0.000000,0.040320,0.040320,0.043474,0.000649,0.042239,0.044239,0.032331,0.000705,0.031096,0.033314
WalkingWithDog_v_WalkingWithDog_g01_c01,VideoMAE-only,10,0.017364,0.000000,0.017364,0.017364,0.024772,0.000468,0.023767,0.025612,0.013346,0.000474,0.012448,0.014153
WalkingWithDog_v_WalkingWithDog_g02_c01,Motion-reference,10,0.778654,0.000000,0.778654,0.778654,0.671740,0.001237,0.669740,0.674026,0.760159,0.001712,0.756839,0.763503
WalkingWithDog_v_WalkingWithDog_g02_c01,RAT+traj,10,0.302410,0.010435,0.277045,0.319868,0.266229,0.008460,0.245407,0.278341,0.290528,0.009834,0.266428,0.305345
WalkingWithDog_v_WalkingWithDog_g02_c01,RAT-fusion,10,0.281168,0.000000,0.281168,0.281168,0.244009,0.002263,0.240782,0.248205,0.264303,0.002490,0.261288,0.269421
WalkingWithDog_v_WalkingWithDog_g02_c01,Random,10,0.101786,0.003695,0.096695,0.107781,0.085001,0.002875,0.080969,0.089224,0.082363,0.003274,0.077674,0.086519
WalkingWithDog_v_WalkingWithDog_g02_c01,Shifted-RAT+traj,10,0.064997,0.004515,0.059785,0.076392,0.064309,0.003377,0.061026,0.072801,0.058294,0.003825,0.054602,0.067804
WalkingWithDog_v_WalkingWithDog_g02_c01,Shifted-RAT-fusion,10,0.059443,0.000000,0.059443,0.059443,0.060661,0.000922,0.058914,0.062265,0.054049,0.001002,0.052070,0.055717
WalkingWithDog_v_WalkingWithDog_g02_c01,VideoMAE-only,10,0.009549,0.000000,0.009549,0.009549,0.018977,0.000236,0.018596,0.019407,0.008740,0.000271,0.008113,0.009165
WalkingWithDog_v_WalkingWithDog_g03_c01,Motion-reference,10,0.664931,0.000000,0.664931,0.664931,0.593027,0.002175,0.589508,0.595928,0.651823,0.002757,0.646145,0.655983
WalkingWithDog_v_WalkingWithDog_g03_c01,RAT+traj,10,0.112484,0.004305,0.105939,0.120046,0.105551,0.003560,0.099662,0.111560,0.107028,0.003679,0.100984,0.113409
WalkingWithDog_v_WalkingWithDog_g03_c01,RAT-fusion,10,0.126313,0.000000,0.126313,0.126313,0.118553,0.001852,0.115622,0.122143,0.121283,0.002114,0.118311,0.125647
WalkingWithDog_v_WalkingWithDog_g03_c01,Random,10,0.101760,0.006704,0.090054,0.113501,0.097530,0.005753,0.086814,0.106939,0.094944,0.006455,0.082912,0.105163
WalkingWithDog_v_WalkingWithDog_g03_c01,Shifted-RAT+traj,10,0.062470,0.005695,0.053454,0.070097,0.062092,0.005122,0.054283,0.069202,0.059068,0.005679,0.050437,0.066809
WalkingWithDog_v_WalkingWithDog_g03_c01,Shifted-RAT-fusion,10,0.072928,0.000000,0.072928,0.072928,0.071396,0.001334,0.069752,0.073116,0.069500,0.001573,0.067284,0.071512
WalkingWithDog_v_WalkingWithDog_g03_c01,VideoMAE-only,10,0.223210,0.000000,0.223210,0.223210,0.180156,0.001830,0.176711,0.183387,0.187291,0.002119,0.183201,0.190902
WalkingWithDog_v_WalkingWithDog_g04_c01,Motion-reference,10,0.729076,0.000000,0.729076,0.729076,0.698445,0.003168,0.691291,0.702426,0.725833,0.003679,0.717476,0.729612
WalkingWithDog_v_WalkingWithDog_g04_c01,RAT+traj,10,0.291859,0.011731,0.268131,0.316276,0.282213,0.010758,0.264650,0.304516,0.282335,0.011704,0.262900,0.306484
WalkingWithDog_v_WalkingWithDog_g04_c01,RAT-fusion,10,0.261167,0.000000,0.261167,0.261167,0.257754,0.001019,0.256201,0.259410,0.255810,0.001164,0.253564,0.257305
WalkingWithDog_v_WalkingWithDog_g04_c01,Random,10,0.100776,0.005545,0.090975,0.111322,0.100607,0.004723,0.093865,0.107870,0.089700,0.004909,0.082247,0.097675
WalkingWithDog_v_WalkingWithDog_g04_c01,Shifted-RAT+traj,10,0.082780,0.010739,0.061167,0.093379,0.083999,0.008848,0.065177,0.093874,0.072269,0.009403,0.052223,0.082934
WalkingWithDog_v_WalkingWithDog_g04_c01,Shifted-RAT-fusion,10,0.067036,0.000000,0.067036,0.067036,0.072650,0.001883,0.068708,0.074696,0.060173,0.002130,0.055732,0.062445
WalkingWithDog_v_WalkingWithDog_g04_c01,VideoMAE-only,10,0.007697,0.000000,0.007697,0.007697,0.019906,0.000728,0.018598,0.021302,0.006288,0.000667,0.005162,0.007658
