experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,30,3,4,195.862037198,8.000000000,0.000100000,0.125816939,0.122255057,0.111641658,12.607161989,12.736429579
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,VideoMAE-only,videomae_only,42,30,,,195.862037198,8.000000000,0.000100000,0.028169627,0.031223665,0.020745855,11.706924696,11.829998629
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT+traj,rat_traj,42,40,,,226.161999800,8.000000000,0.000100000,0.445713393,0.434262225,0.427843671,11.934846401,12.021793870
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Motion-reference,motion_reference,42,40,,,226.161999800,8.000000000,0.000100000,0.670013918,0.658925356,0.657996362,11.976165014,12.081442198
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Random,random,42,40,,,226.161999800,8.000000000,0.000100000,0.210949556,0.190002902,0.181853009,11.366290721,11.435017489
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,40,3,4,226.161999800,8.000000000,0.000100000,0.187769730,0.169895846,0.160960904,11.384069633,11.478796718
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT-fusion,rat_fusion,42,40,,,226.161999800,8.000000000,0.000100000,0.456259192,0.449126127,0.442935801,11.944166946,12.033048669
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,40,3,4,226.161999800,8.000000000,0.000100000,0.182798083,0.169799747,0.161118419,11.336485927,11.425740754
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,VideoMAE-only,videomae_only,42,40,,,226.161999800,8.000000000,0.000100000,0.112818137,0.094562996,0.085551692,10.838455695,10.936080751
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT+traj,rat_traj,42,10,,,82.556481713,8.000000000,0.000100000,0.304631360,0.286253748,0.297584711,17.570573354,18.315644665
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Motion-reference,motion_reference,42,10,,,82.556481713,8.000000000,0.000100000,0.784548287,0.676577710,0.769913224,17.518362900,18.329942137
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Random,random,42,10,,,82.556481713,8.000000000,0.000100000,0.042949117,0.062767094,0.035532681,17.067085087,17.641037624
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,10,3,4,82.556481713,8.000000000,0.000100000,0.036137072,0.061385622,0.033807138,17.124706743,17.724341839
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT-fusion,rat_fusion,42,10,,,82.556481713,8.000000000,0.000100000,0.322824507,0.303159175,0.318637087,17.592625717,18.338462410
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,10,3,4,82.556481713,8.000000000,0.000100000,0.036967809,0.053721576,0.027420085,16.920861443,17.489074817
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,VideoMAE-only,videomae_only,42,10,,,82.556481713,8.000000000,0.000100000,0.000000000,0.025127432,0.000486490,16.039868966,16.493919595
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT+traj,rat_traj,42,20,,,116.752496100,8.000000000,0.000100000,0.384397049,0.370254935,0.366234564,14.722884660,15.157265299
